Block MASS   #
  #  PDG code     mass                 particle
    10431       2.318    # D*_0s+
    10433       2.535    # D_1s+
    10441       3.415    # chi_0c
    10443       3.525    # h_1c
    10511       5.680    # B*_00
    10513       5.730    # B_10
    10521       5.680    # B*_0+
    10523       5.730    # B_1+
    10531       5.920    # B*_0s0
    10533       5.829    # B_1s0
    10541       7.250    # B*_0c+
    10543       7.300    # B_1c+
    10551       9.859    # chi_0b
    10553       9.899    # h_1b
    14122       2.592    # Lambda_c(2593)+
    20113       1.230    # a_1(1260)0
    20213       1.230    # a_1(1260)+
    20223       1.282    # f_1(1285)
    20313       1.403    # K_1(1400)0
    20323       1.403    # K_1(1400)+
    20333       1.426    # f_1(1420)
    20413       2.427    # D*_1+
    20423       2.427    # D*_10
    20433       2.460    # D*_1s+
    20443       3.511    # chi_1c
    20513       5.780    # B*_10
    20523       5.780    # B*_1+
    20533       6.020    # B*_1s0
    20543       7.300    # B*_1c+
    20553       9.893    # chi_1b
    30113       1.720    # rho(1700)0
    30213       1.720    # rho(1700)+
    30313       1.717    # K*(1680)0
    30323       1.717    # K*(1680)+
    30443       3.773    # psi(3770)
   100111       1.300    # pi(1300)0
   100113       1.465    # rho(1450)0
   100211       1.300    # pi(1300)+
   100213       1.465    # rho(1450)+
   100223       1.425    # omega(1420)
   100313       1.414    # K*(1410)0
   100323       1.414    # K*(1410)+
   100441       3.639    # eta_c(2S)
   100443       3.686    # psi(2S)
   100553      10.023    # Upsilon(2S)
   102112       1.530    # n(1535)0
   102114       1.515    # n(1520)0
   102116       1.675    # n(1675)0
   102132       1.405    # Lambda(1405)0
   102134       1.520    # Lambda(1520)0
   102212       1.530    # p(1535)+
   102214       1.515    # p(1520)+
   102216       1.675    # p(1675)+
   103114       1.670    # Sigma(1670)-
   103116       1.775    # Sigma(1775)-
   103122       1.670    # Lambda(1670)0
   103124       1.690    # Lambda(1690)0
   103126       1.830    # Lambda(1830)0
   103214       1.670    # Sigma(1670)0
   103216       1.775    # Sigma(1775)0
   103224       1.670    # Sigma(1670)+
   103226       1.775    # Sigma(1775)+
   103314       1.823    # Xi(1820)-
   103324       1.823    # Xi(1820)0
   111112       1.630    # Delta(1620)-
   112112       1.630    # Delta(1620)0
   112114       1.720    # n(1700)0
   112212       1.630    # Delta(1620)+
   112214       1.720    # p(1700)+
   112222       1.630    # Delta(1620)++
   113112       1.750    # Sigma(1750)-
   113114       1.940    # Sigma(1940)-
   113212       1.750    # Sigma(1750)0
   113214       1.940    # Sigma(1940)0
   113222       1.750    # Sigma(1750)+
   113224       1.940    # Sigma(1940)+
   121114       1.700    # Delta(1700)-
   122112       1.650    # n(1650)0
   122114       1.700    # Delta(1700)0
   122212       1.650    # p(1650)+
   122214       1.700    # Delta(1700)+
   122224       1.700    # Delta(1700)++
   123122       1.800    # Lambda(1800)0
   200553      10.355    # Upsilon(3S)
   201114       1.600    # Delta(1600)-
   201118       1.930    # Delta(1950)-
   202112       1.440    # n(1440)0
   202114       1.600    # Delta(1600)0
   202116       1.685    # n(1680)0
   202118       1.930    # Delta(1950)0
   202212       1.440    # p(1440)+
   202214       1.600    # Delta(1600)+
   202216       1.685    # p(1680)+
   202218       1.930    # Delta(1950)+
   202224       1.600    # Delta(1600)++
   202228       1.930    # Delta(1950)++
   203112       1.660    # Sigma(1660)-
   203116       1.915    # Sigma(1915)-
   203118       2.030    # Sigma(2030)-
   203122       1.600    # Lambda(1600)0
   203126       1.820    # Lambda(1820)0
   203212       1.660    # Sigma(1660)0
   203216       1.915    # Sigma(1915)0
   203218       2.030    # Sigma(2030)0
   203222       1.660    # Sigma(1660)+
   203226       1.915    # Sigma(1915)+
   203228       2.030    # Sigma(2030)+
   203316       2.025    # Xi(2030)-
   203326       2.025    # Xi(2030)0
   211116       1.880    # Delta(1905)-
   212112       1.710    # n(1710)0
   212114       1.720    # n(1720)0
   212116       1.880    # Delta(1905)0
   212212       1.710    # p(1710)+
   212214       1.720    # p(1720)+
   212216       1.880    # Delta(1905)+
   212226       1.880    # Delta(1905)++
   213122       1.810    # Lambda(1810)0
   213124       1.890    # Lambda(1890)0
   221112       1.900    # Delta(1910)-
   221114       1.920    # Delta(1920)-
   222112       1.900    # Delta(1910)0
   222114       1.920    # Delta(1920)0
   222212       1.900    # Delta(1910)+
   222214       1.920    # Delta(1920)+
   222222       1.900    # Delta(1910)++
   222224       1.920    # Delta(1920)++
   302138       2.100    # Lambda(2100)0
  1000001  100000.000    # ~d_L
  1000002  100000.000    # ~u_L
  1000003  100000.000    # ~s_L
  1000004  100000.000    # ~c_L
  1000005  100000.000    # ~b_1
  1000006  100000.000    # ~t_1
  1000011  100000.000    # ~e_L-
  1000012  100000.000    # ~nu_eL
  1000013  100000.000    # ~mu_L-
  1000014  100000.000    # ~nu_muL
  1000015  100000.000    # ~tau_1-
  1000016  100000.000    # ~nu_tauL
  1000021    1800.000    # ~g
  1000022       1.000    # ~chi_10
  1000023  100000.000    # ~chi_20
  1000024  100000.000    # ~chi_1+
  1000025  100000.000    # ~chi_30
  1000035  100000.000    # ~chi_40
  1000037  100000.000    # ~chi_2+
  1000039       0.001    # ~Gravitino
  1000045     500.000    # ~chi_50
  1000512  100000.525    # R0(~b dbar)
  1000522  100000.525    # R-(~b ubar)
  1000532  100000.700    # R0(~b sbar)
  1000542  100001.800    # R-(~b cbar)
  1000552  100005.200    # R0(~b bbar)
  1000612  100000.525    # R+(~t dbar)
  1000622  100000.525    # R0(~t ubar)
  1000632  100000.700    # R+(~t sbar)
  1000642  100001.800    # R0(~t cbar)
  1000652  100005.200    # R+(~t bbar)
  1000993    1801.100    # R0(~g g)
  1005113  100000.850    # R-(~b dd1)
  1005211  100000.850    # R0(~b ud0)
  1005213  100000.850    # R0(~b ud1)
  1005223  100000.850    # R+(~b uu1)
  1005311  100001.025    # R-(~b sd0)
  1005313  100001.025    # R-(~b sd1)
  1005321  100001.025    # R0(~b su0)
  1005323  100001.025    # R0(~b su1)
  1005333  100001.200    # R-(~b ss1)
  1006113  100000.850    # R0(~t dd1)
  1006211  100000.850    # R+(~t ud0)
  1006213  100000.850    # R+(~t ud1)
  1006223  100000.850    # R++(~t uu1)
  1006311  100001.025    # R0(~t sd0)
  1006313  100001.025    # R0(~t sd1)
  1006321  100001.025    # R+(~t su0)
  1006323  100001.025    # R+(~t su1)
  1006333  100001.200    # R0(~t ss1)
  1009002     500.000    # Rtemp(~g q)
  1009113    1801.050    # R0(~g d dbar)
  1009213    1801.050    # R+(~g u dbar)
  1009223    1801.050    # R0(~g u ubar)
  1009313    1801.225    # R0(~g d sbar)
  1009323    1801.225    # R+(~g u sbar)
  1009333    1801.400    # R0(~g s sbar)
  1009413    1802.325    # R+(~g c dbar)
  1009423    1802.325    # R0(~g c ubar)
  1009433    1802.500    # R+(~g c sbar)
  1009443    1803.600    # R0(~g c cbar)
  1009513    1805.725    # R0(~g d bbar)
  1009523    1805.725    # R+(~g u bbar)
  1009533    1805.900    # R0(~g s bbar)
  1009543    1807.000    # R+(~g c bbar)
  1009553    1810.400    # R0(~g b bbar)
  1091114    1801.375    # R-(~g ddd)
  1092114    1801.375    # R0(~g udd)
  1092214    1801.375    # R+(~g uud)
  1092224    1801.375    # R++(~g uuu)
  1093114    1801.550    # R-(~g sdd)
  1093214    1801.550    # R0(~g sud)
  1093224    1801.550    # R+(~g suu)
  1093314    1801.725    # R-(~g ssd)
  1093324    1801.725    # R0(~g ssu)
  1093334    1801.900    # R-(~g sss)
  1094114    1802.650    # R0(~g cdd)
  1094214    1802.650    # R+(~g cud)
  1094224    1802.650    # R++(~g cuu)
  1094314    1802.825    # R0(~g csd)
  1094324    1802.825    # R+(~g csu)
  1094334    1803.000    # R0(~g css)
  1095114    1806.050    # R-(~g bdd)
  1095214    1806.050    # R0(~g bud)
