event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
1	1009323	1401.2249755859375	0	708.8368530273438	-1.1429674625396729	-1.5474116802215576	1860.8629986336703	0	-1009002,21,21	
1	1009113	1401.050048828125	0	838.6922607421875	1.044772982597351	1.537000060081482	1938.4273197324073	0	-1009002,21,21	
5	1000993	1401.0999755859375	0	60.733829498291016	4.229771137237549	1.2961777448654175	2513.4391632543047	0	-1009002,21,21	
5	1009323	1401.2249755859375	0	407.5932922363281	-0.3100128173828125	-2.6580371856689453	1464.9397476351714	0	1009002,21,21,21	
9	1092214	1401.375	-1	244.94981384277344	1.0910358428955078	2.0798757076263428	1458.9430809738687	0	1009002,21	
9	1009223	1401.050048828125	1	192.2953643798828	1.745321273803711	-0.9689775705337524	1511.6190779802496	0	1009002,21	
10	1009333	1401.4000244140625	0	1043.423583984375	-1.2369288206100464	1.4915344715118408	2400.318950172424	0	-1009002,21	
10	1009323	1401.2249755859375	0	1413.1578369140625	-1.0392563343048096	-1.698491096496582	2648.5327265484757	0	1009002,21,21	
13	1009313	1401.2249755859375	0	228.07066345214844	-0.8204600214958191	2.6160922050476074	1434.9423603796638	0	-1009002,21,21	
13	1009313	1402.3408203125	0	473.4718322753906	-0.8870368599891663	-0.022198261693120003	1555.160266358322	0	1009002,-3	
15	1009213	1401.050048828125	0	479.5472106933594	1.2252589464187622	-1.1408922672271729	1658.148896471539	0	-1009002,21,21	
15	1009213	1401.050048828125	0	449.84136962890625	0.1367942988872528	1.999223232269287	1472.7894697648755	0	1009002,21	
20	1009213	1401.050048828125	0	355.8932800292969	2.041775703430176	1.2888906002044678	1976.438583876248	0	1009002,2101	
20	1009213	1401.050048828125	0	447.47283935546875	-1.19532310962677	-1.618372917175293	1616.8802412513048	0	-1009002,21,2	
21	1009213	1401.050048828125	0	1043.2021484375	-0.7554030418395996	-2.48398494720459	1949.2821602591976	0	-1009002,21,21	
21	1009213	1401.050048828125	0	708.289794921875	1.5591049194335938	0.515021026134491	2248.2268399728855	0	1009002,21	
22	1009213	1401.050048828125	0	514.9148559570312	0.6351551413536072	3.002082347869873	1533.042992666457	0	-1009002,21	
22	1009113	1401.050048828125	0	547.1927490234375	-2.0001492500305176	-0.22883985936641693	2490.418670099152	0	1009002,21,21	
24	1092224	1401.375	-2	1079.7972412109375	0.3660734295845032	2.8269102573394775	1814.7093068484276	0	1009002,21	
24	1009323	1401.2249755859375	0	1054.550048828125	-0.5312770009040833	-0.3163709342479706	1849.3412014897392	0	-1009002,21,21,21	
27	1092114	1401.375	0	992.953125	0.008439267985522747	-0.3482453525066376	1717.5208941220528	0	-1009002,21,21	
27	1009313	1401.2249755859375	0	661.6812133789062	-0.8965672850608826	2.872565984725952	1690.6202117037105	0	1009002,21,21,21	
28	1093314	1401.7249755859375	1	1359.11279296875	-0.40037116408348083	2.5650954246520996	2030.8329688252854	0	-1009002,21	
28	1009223	1401.050048828125	1	1371.8779296875	-0.989901602268219	-0.6289776563644409	2525.0882447466643	0	1009002,21,21,21	
29	1009213	1401.050048828125	0	1072.8968505859375	-0.13631747663021088	-3.08062744140625	1770.7546755374924	0	-1009002,21,21	
29	1093214	1401.550048828125	0	1055.4654541015625	-1.2851948738098145	0.06841535121202469	2486.5493621065857	0	1009002,21,21	
