event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
1	-1	1009113	1801.05	0.0	1011.39	1.17548	2.7203	-1009002,21	
1	-1	1009213	1801.05	-1.0	977.644	-1.23472	-0.539306	-1009002,21,21	
3	-1	1092214	1801.38	1.0	600.276	1.4702	-2.21488	1009002,21	
3	-1	1009213	1801.05	-1.0	570.023	1.21827	0.901836	-1009002,21,4	
5	-1	1000993	1801.1	0.0	711.359	-1.35234	-2.82472	-1009002,21	
5	-1	1092114	1801.38	0.0	760.325	0.481266	0.393054	1009002,21	
6	-1	1092114	1801.38	0.0	643.819	-0.702171	-2.42371	-1009002,21	
6	-1	1009223	1801.05	0.0	437.587	-1.02939	0.427092	1009002,21,21	
8	-1	1093214	1801.55	0.0	1134.35	-0.619579	0.332569	-1009002,21,2	
8	-1	1009213	1801.05	-1.0	1049.31	-0.165856	-2.73644	1009002,-1	
10	-1	1009213	1801.05	1.0	1047.16	0.138564	0.122628	-1009002,21,21	
10	-1	1093214	1801.55	0.0	945.614	-0.0344195	-2.98979	1009002,21,21	
11	-1	1009213	1801.05	1.0	437.148	0.397676	-3.08568	-1009002,5	
11	-1	1009113	1801.05	0.0	427.089	2.02839	-0.871937	1009002,21	
14	-1	1000993	1801.1	0.0	1306.83	0.0496229	-0.381613	-1009002,1	
14	-1	1009113	1801.05	0.0	1309.81	-0.899402	2.76799	1009002,21,21	
16	-1	1009213	1801.05	1.0	632.892	-1.7643	1.70784	-1009002,21	
16	-1	1009223	1801.05	0.0	517.333	0.654975	-1.29192	1009002,21,21,21	
17	-1	1000993	1801.1	0.0	1472.07	-0.115238	-3.10586	1009002,21	
17	-1	1009223	1801.05	0.0	1525.57	-0.531974	-0.175762	-1009002,21	
19	-1	1009223	1801.05	0.0	1566.61	1.03543	-0.43398	1009002,21,21	
19	-1	1009223	1801.05	0.0	1573.01	-0.0676613	2.70819	-1009002,21,21	
21	-1	1009213	1801.05	1.0	720.419	-1.5565	2.07794	-1009002,21	
21	-1	1009113	1801.05	0.0	772.527	-0.735273	-1.17124	1009002,21,-1	
28	-1	1009213	1801.05	-1.0	638.566	0.590146	0.337699	1009002,21	
28	-1	1009213	1801.05	1.0	661.114	-1.85417	-2.80163	-1009002,21,21	
30	-1	1009213	1801.05	1.0	809.479	1.22421	1.36753	1009002,21,21	
30	-1	1009223	1801.05	0.0	821.037	-1.06753	-1.78671	-1009002,21,21	
32	-1	1009213	1801.05	1.0	804.996	1.19986	0.99371	1009002,21	
32	-1	1009213	1801.05	-1.0	665.64	1.5682	-2.17595	-1009002,21	
33	-1	1009213	1801.05	-1.0	1592.45	-0.955085	2.48168	-1009002,21	
33	-1	1092224	1801.38	2.0	1409.7	-1.09117	-0.360738	1009002,2203	
36	-1	1009213	1801.05	1.0	395.114	1.25108	2.56521	1009002,21	
36	-1	1009113	1801.05	0.0	379.889	1.90246	-0.638731	-1009002,21	
38	-1	1009213	1801.05	1.0	382.773	-1.24001	0.189943	-1009002,21,21	
38	-1	1009213	1801.05	-1.0	329.04	2.43125	-3.00218	1009002,21	
40	-1	1000993	1801.1	0.0	1975.9	0.702489	2.46908	-1009002,21,21	
40	-1	1009323	1801.22	-1.0	1948.62	1.18314	-0.678422	1009002,21,21	
45	-1	1009323	1801.76	-1.0	283.001	-1.13114	-2.30982	-1009002,3	
45	-1	1093224	1801.55	1.0	331.713	-2.44062	0.85832	1009002,21,21	
47	-1	1009213	1801.05	-1.0	453.367	-1.99427	-2.40918	-1009002,3	
47	-1	1009223	1801.05	0.0	539.775	-0.291102	0.534094	1009002,21	
49	-1	1009313	1801.22	0.0	869.534	-1.02389	-2.61428	-1009002,21	
49	-1	1009313	1801.22	0.0	880.003	0.32181	0.411812	1009002,21	
52	-1	1009113	1801.05	0.0	1097.98	0.368456	0.671999	1009002,21,21	
52	-1	1092224	1801.38	2.0	986.429	0.396408	-2.37122	1009002,21	
53	-1	1000993	1801.1	0.0	1053.9	-0.303426	-2.28515	-1009002,3	
53	-1	1009223	1801.05	0.0	1097.78	-1.20642	0.891592	1009002,21,21	
54	-1	1009213	1801.05	-1.0	795.997	-1.27512	-1.4581	1009002,21,21	
54	-1	1009313	1801.22	0.0	794.982	-0.963214	1.68395	-1009002,21,21,21	
55	-1	1009333	1801.4	0.0	748.005	1.76149	-3.02126	-1009002,21	
55	-1	1009323	1801.22	-1.0	662.821	1.52532	0.094157	1009002,21	
56	-1	1009313	1801.22	0.0	562.323	-0.366284	-1.45784	-1009002,21	
56	-1	1092114	1801.38	0.0	546.712	-0.926207	1.28633	-1009002,21	
57	-1	1000993	1801.1	0.0	1204.4	0.0598958	1.0129	1009002,21,21,-1	
57	-1	1009213	1801.05	1.0	1242.55	1.24297	-2.16655	1009002,21,21	
58	-1	1009213	1801.05	-1.0	848.359	0.826158	0.0674366	-1009002,4	
58	-1	1000993	1801.1	0.0	730.346	-1.37947	-3.04486	-1009002,21,21	
60	-1	1009213	1801.05	-1.0	575.213	2.77997	0.327429	-1009002,21,21	
60	-1	1009213	1801.05	-1.0	384.264	-2.45041	-2.70812	1009002,21,21	
61	-1	1009213	1801.05	-1.0	194.329	-1.15764	-0.434927	1009002,21,21	
61	-1	1000993	1801.1	0.0	364.321	-0.257351	2.38193	-1009002,21	
63	-1	1009213	1801.05	1.0	1016.7	0.896841	2.09268	1009002,21	
63	-1	1009323	1801.22	-1.0	1501.55	-1.15253	-1.22925	-1009002,21	
65	-1	1009213	1801.05	1.0	820.342	-0.67196	-2.72281	-1009002,21,21	
65	-1	1009323	1801.22	-1.0	739.625	1.3793	0.245302	-1009002,1	
67	-1	1009213	1801.05	1.0	1046.35	-0.864346	1.23804	-1009002,21	
67	-1	1009323	1801.22	-1.0	1123.89	1.07856	-2.18209	-1009002,21,21	
68	-1	1009313	1801.22	0.0	327.996	-1.19273	0.0177132	-1009002,21	
68	-1	1092214	1801.38	1.0	320.093	0.945451	-3.10286	1009002,21	
69	-1	1009213	1801.05	1.0	348.956	1.62106	3.02387	-1009002,21	
69	-1	1009213	1801.05	-1.0	950.846	0.949393	-0.51995	1009002,21,21	
70	-1	1000993	1801.1	0.0	281.739	-1.64141	0.694594	-1009002,21	
70	-1	1091114	1801.38	1.0	397.911	-1.96205	-2.19984	1009002,21	
73	-1	1009213	1801.05	-1.0	1148.46	-0.233511	-0.482952	1009002,21,21	
73	-1	1092214	1801.38	1.0	1213.36	-1.43529	2.73277	1009002,21	
77	-1	1000993	1801.1	0.0	1163.57	0.119198	-2.94437	-1009002,21	
77	-1	1009323	1801.22	1.0	1165.58	-0.987463	0.205084	1009002,21,21	
82	-1	1009213	1801.05	-1.0	726.828	-0.250019	0.569189	-1009002,21,21	
82	-1	1009213	1801.05	1.0	694.991	-0.733178	-2.77711	1009002,21,21	
85	-1	1009323	1801.22	1.0	534.262	0.491481	-0.488312	-1009002,21,21	
85	-1	1091114	1801.38	-1.0	429.163	-0.645942	2.09526	1009002,21	
86	-1	1092114	1801.38	0.0	1086.6	1.45523	0.102531	1009002,21	
86	-1	1009213	1801.05	-1.0	1052.53	-0.249707	3.08739	1009002,21	
88	-1	1009313	1801.22	0.0	448.494	-0.638482	-1.19715	-1009002,21,21	
88	-1	1009213	1801.05	-1.0	694.702	-1.148	1.88372	1009002,21	
89	-1	1009213	1801.05	1.0	918.748	-1.30226	2.34803	1009002,21	
89	-1	1009313	1801.22	0.0	935.086	-0.654492	-0.787951	-1009002,21,21	
91	-1	1009223	1801.05	0.0	310.125	-2.10966	-2.47059	-1009002,21	
91	-1	1009223	1801.05	0.0	166.815	-3.06964	0.671158	1009002,21,21	
95	-1	1009213	1801.05	1.0	1703.13	-0.427288	-0.131679	-1009002,21,21	
95	-1	1092214	1801.38	-1.0	1619.89	-1.04655	2.98823	1009002,-2	
96	-1	1009213	1801.05	-1.0	793.489	1.64397	-2.76013	-1009002,21,21	
96	-1	1009223	1801.05	0.0	793.88	-0.448748	0.0682891	1009002,21,21	
98	-1	1009213	1801.05	1.0	724.874	0.288997	0.150964	-1009002,21,21	
98	-1	1009223	1801.05	0.0	811.442	0.080885	3.1359	1009002,21	
99	-1	1009313	1801.22	0.0	903.847	0.245283	1.56987	1009002,21,21	
99	-1	1009213	1801.05	-1.0	887.545	0.0362145	-1.57929	-1009002,21,21	
102	-1	1009213	1801.05	1.0	2049.15	-0.199431	2.88821	-1009002,21,21	
102	-1	1009213	1801.05	1.0	2066.45	-0.239644	-0.252937	-1009002,21,21	
103	-1	1009213	1801.05	1.0	470.964	-0.53817	0.194431	-1009002,3	
103	-1	1009113	1801.05	0.0	467.682	0.0842559	-2.95632	1009002,-1	
109	-1	1009113	1801.05	0.0	492.488	-0.760732	-2.39185	-1009002,21,21	
109	-1	1009113	1801.05	0.0	555.014	1.32688	0.407011	1009002,21,21	
110	-1	1009313	1801.22	0.0	1039.2	1.11501	0.18342	-1009002,21,21,21	
110	-1	1000993	1801.1	0.0	1016.66	1.03025	-3.00101	1009002,21,21,21	
114	-1	1009323	1801.22	1.0	1788.88	-0.466552	-0.0975845	-1009002,21	
114	-1	1009313	1801.22	0.0	1883.33	0.198636	3.09912	1009002,21	
117	-1	1009223	1801.05	0.0	744.154	1.96409	1.4077	-1009002,21,21	
117	-1	1000993	1801.1	0.0	646.868	0.114706	-1.829	1009002,21,21	
120	-1	1009213	1801.05	1.0	152.92	-1.19184	1.50687	-1009002,1	
120	-1	1009213	1801.05	-1.0	229.361	-1.60173	0.918745	1009002,21	
122	-1	1009213	1801.05	-1.0	949.577	-0.575416	-2.38695	1009002,21	
122	-1	1009213	1801.05	1.0	988.103	1.05283	0.869664	1009002,21,21	
124	-1	1000993	1801.1	0.0	454.897	-0.281194	2.91589	1009002,21	
124	-1	1009213	1801.05	1.0	582.006	0.470212	0.597748	-1009002,21	
125	-1	1009223	1801.05	0.0	394.84	0.786228	-1.59437	1009002,21	
125	-1	1009213	1801.05	-1.0	346.484	-2.53911	-2.89377	1009002,21	
129	-1	1009113	1801.05	0.0	1165.38	-0.383826	-1.32676	-1009002,21,21	
129	-1	1009223	1801.05	0.0	1157.01	1.06366	1.8115	1009002,21	
134	-1	1009213	1801.05	-1.0	1072.25	-1.45022	-1.61602	-1009002,21	
134	-1	1009213	1801.05	1.0	1089.36	-0.583002	1.50626	1009002,21,21	
135	-1	1000993	1801.1	0.0	723.017	0.171949	-2.53348	-1009002,21,21	
135	-1	1009323	1801.22	-1.0	747.983	-1.65489	0.584783	-1009002,3	
145	-1	1009213	1801.05	1.0	964.214	-0.251182	1.56689	1009002,21	
145	-1	1000993	1801.1	0.0	783.434	0.333803	-1.49595	-1009002,21,21,21	
151	-1	1092114	1801.38	0.0	672.637	0.143185	-2.70301	1009002,21,21	
151	-1	1009113	1801.05	0.0	534.261	1.88354	0.366122	-1009002,21	
166	-1	1009223	1801.05	0.0	859.897	0.580132	1.08616	-1009002,21,21,21	
166	-1	1009213	1801.05	1.0	851.725	-0.813856	-2.03352	1009002,21,21	
168	-1	1009223	1801.05	0.0	647.316	1.87757	2.05562	1009002,-4	
168	-1	1009213	1801.05	1.0	656.05	1.41515	-1.0957	1009002,-3	
169	-1	1009113	1801.05	0.0	1629.99	-0.0177006	0.190101	1009002,21,-3	
169	-1	1009113	1801.05	0.0	1631.62	1.45012	-2.95304	-1009002,21,21	
170	-1	1009213	1801.05	-1.0	933.46	1.27209	1.32754	-1009002,21,21	
170	-1	1009223	1801.05	0.0	886.412	-0.452092	-1.4371	1009002,21	
174	-1	1000993	1801.1	0.0	881.399	-1.12516	1.48492	-1009002,21	
174	-1	1000993	1801.1	0.0	899.509	-0.0231224	-1.26986	1009002,21	
175	-1	1009223	1801.05	0.0	586.892	0.923691	0.806093	1009002,21,21	
175	-1	1009213	1801.05	-1.0	526.08	0.383732	-2.49158	-1009002,2	
177	-1	1009313	1801.22	0.0	1393.45	-1.35552	2.03169	-1009002,21,21	
177	-1	1009213	1801.05	1.0	1368.82	0.632172	-1.14106	1009002,21	
179	-1	1009113	1801.05	0.0	249.698	2.48066	0.703962	-1009002,21,21	
179	-1	1000993	1801.1	0.0	223.722	-1.13373	-2.48999	1009002,21	
181	-1	1092114	1801.38	0.0	782.209	2.17896	-1.39553	-1009002,21	
181	-1	1092114	1801.38	0.0	935.758	0.410454	1.88859	1009002,2203	
183	-1	1009113	1801.05	0.0	449.026	1.14924	2.15909	-1009002,21,21	
183	-1	1009213	1801.05	-1.0	333.138	2.20489	-1.1828	1009002,21	
184	-1	1009223	1801.05	0.0	1469.98	-0.868661	-0.504658	-1009002,21	
184	-1	1009223	1801.05	0.0	1480.45	-0.631879	2.63228	-1009002,21	
188	-1	1009113	1801.05	0.0	1083.63	-0.992718	1.19979	-1009002,21,21,21	
188	-1	1009213	1801.05	-1.0	1111.13	-0.0591372	-1.94424	1009002,21,21,21	
189	-1	1000993	1801.1	0.0	435.074	-0.155623	-0.765062	1009002,21	
189	-1	1009113	1801.05	0.0	706.403	-1.4912	2.23781	1009002,21	
194	-1	1009213	1801.05	1.0	804.537	-0.80826	1.4364	1009002,21	
194	-1	1009213	1801.05	-1.0	837.008	0.533074	-1.71101	-1009002,21	
195	-1	1009113	1801.05	0.0	485.119	0.586657	2.04444	1009002,-4	
195	-1	1009113	1801.05	0.0	683.658	1.39262	-1.36153	1009002,-1	
200	-1	1009313	1801.22	0.0	203.221	-2.28388	-1.96311	1009002,21	
200	-1	1092114	1801.38	0.0	136.939	2.86427	1.91226	-1009002,21,21,21	
206	-1	1009223	1801.05	0.0	736.578	0.93578	-2.88183	-1009002,21	
206	-1	1009213	1801.05	1.0	780.306	-0.387939	0.412621	1009002,21,21	
210	-1	1000993	1801.1	0.0	605.722	-0.273455	2.73985	-1009002,21,21	
210	-1	1009323	1801.22	1.0	593.121	-1.54671	-0.428867	1009002,21,21	
211	-1	1009113	1801.05	0.0	917.644	0.467455	-0.526545	1009002,21	
211	-1	1009323	1801.22	1.0	922.383	-0.482393	2.6034	-1009002,21,21	
215	-1	1009113	1801.05	0.0	491.577	-0.528623	-1.20098	1009002,21	
215	-1	1009113	1801.05	0.0	544.998	0.948936	1.96043	-1009002,21	
219	-1	1093214	1801.55	0.0	1199.01	0.343883	2.67154	1009002,21,21	
219	-1	1092214	1801.38	-1.0	1254.99	1.21988	-0.484043	1009002,21,21	
221	-1	1000993	1801.1	0.0	641.12	0.0734975	0.746175	-1009002,21	
221	-1	1009113	1801.05	0.0	753.982	1.14145	-2.31856	1009002,21,-1	
223	-1	1093214	1801.55	0.0	1442.29	-1.01385	-1.8112	1009002,21,21	
223	-1	1000993	1801.1	0.0	1429.42	0.00123829	1.33719	-1009002,21	
224	-1	1000993	1801.1	0.0	818.229	-1.19076	0.640405	-1009002,21,21	
224	-1	1009313	1801.22	0.0	802.027	-0.868136	-2.57265	1009002,-1	
225	-1	1009213	1801.05	1.0	358.567	-1.18255	-1.2029	-1009002,21	
225	-1	1009223	1801.05	0.0	722.255	1.06198	1.4169	1009002,21	
227	-1	1092214	1801.38	1.0	1201.63	0.959891	2.26825	1009002,21,21	
227	-1	1009223	1801.05	0.0	1102.97	-0.362129	-0.738328	-1009002,21	
229	-1	1009323	1801.22	1.0	1052.81	-0.697912	2.55233	-1009002,21	
229	-1	1009323	1801.22	-1.0	1049.72	-0.990521	-0.563035	1009002,-1	
230	-1	1000993	1801.1	0.0	604.334	1.09842	-0.100819	-1009002,21,21	
230	-1	1009313	1801.22	0.0	932.685	-1.01419	-1.63171	-1009002,21	
231	-1	1000993	1801.1	0.0	935.24	-0.550619	2.99401	1009002,21	
231	-1	1009213	1801.05	1.0	1306.28	-0.904415	-0.303333	-1009002,21	
232	-1	1000993	1801.1	0.0	517.646	2.74123	0.775292	1009002,21	
232	-1	1009113	1801.05	0.0	495.08	1.64169	-2.34709	-1009002,21,21	
238	-1	1009213	1801.05	-1.0	983.766	0.236241	-2.85897	-1009002,2	
238	-1	1009213	1801.05	1.0	963.905	-0.934419	0.272112	1009002,-2	
240	-1	1009213	1801.05	-1.0	977.085	0.118346	-2.21854	1009002,21	
240	-1	1009113	1801.05	0.0	911.205	0.0102901	0.850166	1009002,-3	
241	-1	1009113	1801.21	0.0	639.987	-1.14161	1.45699	-1009002,1	
241	-1	1009313	1801.22	0.0	581.983	0.711141	-1.87432	1009002,-1	
243	-1	1009213	1801.05	1.0	1393.37	0.397295	-0.734221	-1009002,21,21	
243	-1	1009213	1801.05	-1.0	1399.76	1.0768	2.38618	-1009002,21,21,21	
244	-1	1009323	1801.22	1.0	726.092	-1.7778	1.18539	1009002,21,21	
244	-1	1009213	1801.05	-1.0	795.938	0.455299	-2.016	-1009002,21,21,21	
248	-1	1009313	1801.22	0.0	588.509	-1.20925	1.59106	1009002,21	
248	-1	1009223	1801.05	0.0	708.341	-0.787092	-1.64532	-1009002,21,21	
251	-1	1009213	1801.05	1.0	912.794	-0.134391	2.45503	-1009002,21,21	
251	-1	1009213	1801.05	-1.0	1009.41	-0.744068	-0.508076	1009002,21	
252	-1	1009213	1801.05	-1.0	422.759	-0.0808499	-0.14074	1009002,21,21	
252	-1	1000993	1801.1	0.0	430.491	1.45282	2.99946	1009002,2203	
254	-1	1009213	1801.05	-1.0	655.177	-0.391052	0.115465	-1009002,21,21,21	
254	-1	1000993	1801.1	0.0	639.668	0.702423	-3.01639	1009002,21,21	
255	-1	1009223	1801.05	0.0	112.384	2.47134	-1.32312	-1009002,21	
255	-1	1009213	1801.05	1.0	62.3749	-3.73485	1.74162	1009002,21	
259	-1	1009213	1801.05	-1.0	739.601	-1.23247	-2.71784	-1009002,3	
259	-1	1009323	1801.22	1.0	733.244	-1.75444	0.455614	1009002,21,21	
268	-1	1009223	1801.05	0.0	577.215	1.78345	-0.656741	-1009002,21,21	
268	-1	1009213	1801.05	1.0	1028.17	0.786554	2.44446	1009002,21	
