event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
2	1009223	1401.050048828125	1	498.1771545410156	-0.4579286277294159	2.885910987854004	1505.6247411700344	0	-1009002,21,21	
2	1091114	1401.375	-1	243.907958984375	-1.7827589511871338	0.6821034550666809	1587.4148871022564	0	1009002,-2	
3	1009213	1401.050048828125	0	400.6629333496094	2.47189998626709	-0.32169824838638306	2770.2356651585246	0	-1009002,21,21	
3	1009323	1401.2249755859375	0	458.0455017089844	-0.06283175945281982	2.94413685798645	1474.47159401076	0	1009002,21,21,21,21,21,21,21,21	
9	1009323	1401.2249755859375	0	680.8894653320312	0.916524350643158	1.0897972583770752	1714.206029640561	0	1009002,21	
9	1000993	1401.0999755859375	0	612.4789428710938	0.35009658336639404	-2.100872039794922	1544.700591898507	0	-1009002,2	
10	1009213	1401.050048828125	0	325.3058166503906	0.17178328335285187	-2.5423359870910645	1439.4161182704302	0	1009002,21	
10	1009223	1401.050048828125	1	322.7212829589844	1.3531556129455566	0.6077238917350769	1551.3332518024356	0	-1009002,3	
13	1009213	1401.050048828125	0	690.1143188476562	-0.5422815084457397	-0.7181515097618103	1610.4440100074378	0	-1009002,21,21	
13	1009213	1401.050048828125	0	673.3164672851562	-1.493077278137207	2.4310810565948486	2107.2514508721347	0	-1009002,21	
14	1009213	1401.050048828125	0	586.9635620117188	-1.2412539720535278	-1.9645094871520996	1781.4324594843729	0	-1009002,4	
14	1009323	1401.2249755859375	0	610.2271118164062	-1.3713817596435547	1.0159016847610474	1897.7234015799831	0	1009002,21,21	
15	1009213	1401.050048828125	0	947.0482177734375	-0.18073615431785583	-2.8355770111083984	1699.8410858224363	0	-1009002,21	
15	1009213	1401.050048828125	0	1006.0497436523438	1.2213902473449707	0.20604003965854645	2324.2537615154733	0	-1009002,21,21	
17	1009323	1401.2249755859375	0	554.4464111328125	-0.3213549256324768	1.6100000143051147	1517.793204175116	0	-1009002,21	
17	1009313	1401.2249755859375	0	262.6761474609375	2.8914027214050293	1.9011319875717163	2756.52302134803	0	1009002,21,21,21	
