#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	1400	20	20	20	1	N/A	0.07887	0.0001321	0.01343146	0.00008411831	0.02843327	0.0003485668	0.03713575	0.0004302392	0.06556902	0.0005537188666	0.8313556485	0.007157406188	0.095842
gluino	1400	20	20	40	1	N/A	0.04443	0.00009044	0.01340046	0.00006403458	0.01732263	0.0002306031	0.01359616	0.0001564829	0.03091879	0.0002786838491	0.6958989422	0.006430390134	0.20325
gluino	1400	20	20	50	1	N/A	0.03752	0.00008553	0.01341806	0.0000586852	0.01445772	0.0001943083	0.009569569	0.0001184783	0.024027289	0.0002275803661	0.6403861674	0.006238770313	0.26155
																			
gluino	1500	20	20	0	0	N/A	0.03018	0.00006658	0.00740482	0.00004640952	0.0102391	0.0001353099	0.01231092	0.0001382472	0.02255002	0.0001934452309	0.747184228	0.006618274174	
gluino	1500	20	20	20	1	N/A	0.04319	0.00009488	0.00741592	0.00005543187	0.01538553	0.0002106161	0.02032449	0.0002351981	0.03571002	0.0003157171009	0.8268122251	0.007532237413	0.097286
gluino	1500	20	20	40	1	N/A	0.02435	0.00006332	0.00739712	0.0000419152	0.00938943	0.0001195857	0.007403532	0.00009145967	0.016792962	0.0001505510242	0.6896493634	0.006437632973	0.20688
gluino	1500	20	20	50	1	N/A	0.02065	0.00005628	0.00741512	0.00003868484	0.00787176	0.00009926622	0.005277148	0.00006551052	0.013148908	0.0001189344806	0.6367509927	0.006015310401	0.26421
																			
gluino	1600	20	20	0	0	N/A	0.01671	0.00003545	0.00416581	0.00002646107	0.005652764	0.0000679728	0.006782905	0.00007375759	0.012435669	0.0001003019622	0.7442052065	0.006206674786	
gluino	1600	20	20	20	1	N/A	0.0241	0.000049	0.004191873	0.00002217716	0.004420905	0.00005771883	0.00291861	0.00003482459	0.007339515	0.00006741079591	0.3045441909	0.002864844404	0.26429
gluino	1600	20	20	40	1	N/A	0.01366	0.00003125	0.00418201	0.00002422312	0.005268083	0.00006558631	0.004233214	0.00005126275	0.009501297	0.00008324321953	0.6955561493	0.006298261669	0.20415
gluino	1600	20	20	50	1	N/A	0.01156	0.00002541	0.00417121	0.00003171163	0.008696459	0.0001184299	0.01116877	0.0001202333	0.019865229	0.0001687651849	1.718445415	0.01507981265	0.097645
																			
gluino	1800	20	20	0	0	N/A	0.005394	0.00001096	0.001394999	0.00000905217	0.001823456	0.00002705528	0.002140059	0.00002423656	0.003963515	0.00003632353254	0.7348007045	0.006897589541	
gluino	1800	20	20	20	1	N/A	0.00781	0.00001369	0.001393079	0.00001088988	0.002807854	0.00003651813	0.003608217	0.00003963432	0.006416071	0.00005389297858	0.8215199744	0.007049163578	0.10033
gluino	1800	20	20	40	1	N/A	0.004469	0.000009736	0.001396919	0.000008190371	0.001721563	0.00002299396	0.001344762	0.00001790701	0.003066325	0.00002914417958	0.6861322443	0.00669052752	0.20993
gluino	1800	20	20	50	1	N/A	0.003794	0.000008603	0.001396489	0.000007608863	0.001434285	0.00001893638	0.0009440757	0.00001218818	0.0023783607	0.00002251972955	0.6268741961	0.006103448051	0.27065
																			
gluino	2000	20	20	0	0	N/A	0.001843	0.000003419	0.000498287	0.000003155038	0.0006173376	0.000007868659	0.0007139419	0.000008137206	0.0013312795	0.00001131944857	0.722343733	0.006286346688	
gluino	2000	20	20	20	1	N/A	0.002681	0.000004974	0.000495407	0.000003863605	0.0009700278	0.00001358027	0.001214125	0.0000137648	0.0021841528	0.00001933632468	0.8146784036	0.007369027434	0.1016229
gluino	2000	20	20	40	1	N/A	0.001549	0.000003398	0.000496687	0.000002889795	0.0005943831	0.000007626815	0.0004519587	0.000005776842	0.0010463418	0.000009567664842	0.6754950291	0.006351933036	0.21213
gluino	2000	20	20	50	1	N/A	0.00132	0.000003186	0.000496127	0.000002689948	0.0004989525	0.000006440596	0.0003227933	0.000004403263	0.0008217458	0.000007801922961	0.622534697	0.006098548831	0.27011
																			
