#Exclusive (bad private samples)																			
species	mass	ptj	ptb	xqcut(MG5)	icckw	qcut(P8)	Summary Cross_section (Generation log)	Summary Cross_section Error (Generation log)	Process@1	Process@1 Error	Process@2	Process@2 Error	Process@3	Process@3 Error	Cross-section Sum @2-3	Cross-section Sum @2-3 Error	Cross-section Sum @2-3/Total Cross-section	Cross-section Sum @2-3/Total Cross-section Error	Ratio: Excusive/Inclusive(Sum @2-3)
gluino	1000	20	20	0	        0	    N/A	        8.04E-01	                            1.83E-03	                                    1.87E-01	9.19E-04	    2.75E-01	3.82E-03	    3.40E-01	3.78E-03	    6.15E-01	            5.37E-03	                    7.65E-01	                                6.90E-03	                                        
gluino	1000	20	20	20	        1	    N/A	        1.12E+00	                            3.11E-03	                                    1.87E-01	1.07E-03	    3.98E-01	5.35E-03	    5.19E-01	6.14E-03	    9.17E-01	            8.14E-03	                    8.22E-01	                                7.65E-03	                                        9.04E-02
gluino	1000	20	20	40	        1	    N/A	        6.18E-01	                            1.32E-03	                                    1.87E-01	8.04E-04	    2.44E-01	3.26E-03	    1.86E-01	2.53E-03	    4.30E-01	            4.13E-03	                    6.96E-01	                                6.84E-03	                                        1.93E-01
gluino	1000	20	20	50	        1	    N/A	        5.20E-01	                            1.22E-03	                                    1.87E-01	7.63E-04	    2.04E-01	2.71E-03	    1.27E-01	1.67E-03	    3.32E-01	            3.18E-03	                    6.38E-01	                                6.30E-03	                                        2.50E-01
																			
gluino	1100	20	20	0	        0	    N/A	        3.94E-01	                            7.16E-04	                                    9.20E-02	4.69E-04	    1.33E-01	1.71E-03	    1.64E-01	1.86E-03	    2.97E-01	            2.52E-03	                    7.55E-01	                                6.56E-03	                                        
gluino	1100	20	20	20	        1	    N/A	        5.49E-01	                            9.68E-04	                                    9.23E-02	5.45E-04	    1.99E-01	2.73E-03	    2.55E-01	2.71E-03	    4.54E-01	            3.84E-03	                    8.26E-01	                                7.14E-03	                                        9.23E-02
gluino	1100	20	20	40	        1	    N/A	        3.07E-01	                            6.37E-04	                                    9.21E-02	4.16E-04	    1.19E-01	1.54E-03	    9.35E-02	1.21E-03	    2.13E-01	            1.96E-03	                    6.93E-01	                                6.54E-03	                                        1.97E-01
gluino	1100	20	20	50	        1	    N/A	        2.58E-01	                            6.15E-04	                                    9.23E-02	3.86E-04	    1.01E-01	1.24E-03	    6.39E-02	8.05E-04	    1.64E-01	            1.48E-03	                    6.38E-01	                                5.94E-03	                                        2.55E-01
																			
