event	pdgid	mass	charge	pt	eta	phi	mothers	daughters	longLived
134	1009213	1001.05	-1.0	277.849	1044.21	0.37036	2.89943	-1009002,21,21		0
137	1009313	1001.22	0.0	208.446	1041.61	-0.844048	-1.3424	-1009002,21,2		0
138	1009113	1001.05	0.0	1467.88	1861.83	-0.370544	-0.251556	-1009002,21		0
139	1009223	1001.05	0.0	1560.27	1886.08	-0.220906	2.87715	1009002,21,21		0
141	1009213	1001.05	1.0	352.565	2010.26	2.28105	1.37722	1009002,21		0
144	1092114	1001.38	0.0	450.627	1280.7	1.17382	-1.83466	1009002,21,21,21		0
146	1009223	1001.05	0.0	426.856	1250.15	-1.16182	-0.948162	-1009002,3		0
150	1000993	1001.1	0.0	412.402	1106.41	0.52744	2.16668	1009002,21		0
151	1009213	1001.05	-1.0	804.328	1351.88	-0.503734	2.00437	-1009002,21,21		0
152	1009213	1001.05	-1.0	654.549	1435.49	-1.02409	-0.773589	1009002,21,21		0
155	1009213	1001.05	1.0	797.398	1432.82	0.738837	-0.87933	1009002,21,21		0
156	1092214	1001.38	-1.0	748.413	1254.94	0.145904	2.33553	1009002,21		0
157	1009213	1001.05	1.0	921.353	1443.8	-0.503054	1.36707	1009002,21		0
159	1009323	1001.22	1.0	833.997	1397.55	0.573681	-2.316	-1009002,21		0
163	1009323	1001.22	-1.0	244.621	1090.27	-1.16862	1.10259	-1009002,21,21		0
165	1009323	1001.22	1.0	238.973	1094.66	-1.22679	-2.07471	1009002,21		0
166	1092214	1001.38	-1.0	429.618	1343.16	-1.36396	2.81449	1009002,21		0
167	1009323	1001.22	1.0	459.636	1156.24	-0.703959	-0.547253	-1009002,21,21		0
169	1009223	1001.05	0.0	348.077	1252.7	-1.40664	-3.09162	1009002,21,21		0
170	1009213	1001.05	1.0	343.632	1062.86	0.279743	-0.0677316	1009002,21,21		0
171	1009213	1001.05	-1.0	260.04	1239.65	-1.69373	-1.04794	-1009002,3		0
174	1009213	1001.05	-1.0	469.33	1141.73	-0.574852	-0.205011	-1009002,21,21		0
175	1009223	1001.05	0.0	661.629	1569.4	1.21065	-1.57585	-1009002,21,21		0
176	1092214	1001.38	1.0	673.535	1238.16	-0.400226	1.50115	1009002,21,21		0
178	1009313	1001.22	0.0	595.745	2027.99	1.74862	0.804776	1009002,21		0
179	1009313	1001.22	0.0	589.096	1718.4	1.50856	-2.36579	-1009002,21,21		0
181	1009223	1001.05	0.0	307.499	1152.99	1.23234	-1.01601	-1009002,21,21		0
189	1000993	1001.1	0.0	303.798	1191.69	1.38788	2.15659	1009002,21,21		0
191	1009113	1001.05	0.0	931.835	1636.62	-0.856198	2.12928	-1009002,21		0
192	1009313	1001.22	0.0	877.316	1475.57	-0.673461	-0.990646	-1009002,1		0
195	1009113	1001.05	0.0	331.055	1117.14	-0.960557	0.789055	-1009002,3		0
197	1093214	1001.55	0.0	333.342	1730.56	-2.12199	-2.33063	1009002,21,21		0
198	1009213	1001.05	-1.0	1306.98	1894.01	0.66615	1.13177	1009002,21,21		0
201	1009213	1001.05	1.0	1291.97	1644.77	-0.142183	-2.01862	1009002,-3		0
202	1009213	1001.05	-1.0	249.196	1090.27	-1.14715	2.05463	-1009002,1		0
203	1093214	1001.55	0.0	274.611	1237.5	-1.62873	-1.13387	1009002,21		0
206	1009223	1001.05	0.0	730.861	1259.48	-0.301445	2.15927	1009002,21		0
207	1009113	1001.05	0.0	824.661	2086.15	1.43528	-1.55359	1009002,21,21		0
208	1009113	1001.05	0.0	388.702	1076.59	-0.195709	3.13306	-1009002,21		0
210	1009323	1001.22	1.0	256.853	1047.51	-0.620734	-0.115663	1009002,21		0
211	1009113	1001.05	0.0	386.08	1109.06	0.674903	-0.868708	-1009002,21		0
212	1009113	1001.05	0.0	438.058	1092.91	-0.0481878	1.90769	1009002,21		0
213	1009213	1001.05	-1.0	237.897	3150.48	-3.22182	2.88895	1009002,21,21		0
214	1009213	1001.05	1.0	240.078	1267	-1.84239	-0.252963	-1009002,21		0
217	1009213	1001.05	1.0	824.49	1362.36	0.486706	-2.11385	-1009002,21,21		0
218	1009113	1001.05	0.0	648.541	1476.96	-1.10445	1.35415	1009002,21,21		0
219	1009113	1001.05	0.0	462.049	1499.94	-1.53008	2.93151	-1009002,21,21		0
223	1009213	1001.05	1.0	635.39	1219.17	-0.433047	-0.180521	-1009002,21,21		0
225	1092214	1001.38	1.0	179.16	1923.57	2.90578	-0.692079	-1009002,21,21		0
226	1092114	1001.38	0.0	215.148	1635.84	2.47996	2.42996	1009002,21		0
228	1000993	1001.1	0.0	251.205	1211.03	-1.65527	2.28853	-1009002,21		0
230	1009223	1001.05	0.0	242.722	1381.53	-2.04325	-0.880365	1009002,21,21		0
231	1009213	1001.05	1.0	699.829	2510.1	1.85983	-0.324158	-1009002,21		0
232	1009213	1001.05	-1.0	661.85	1217.78	0.307891	2.94038	1009002,21		0
233	1009223	1001.05	0.0	627.83	1292.61	0.759456	1.96959	1009002,21		0
234	1009213	1001.05	-1.0	677.953	1535.5	1.1358	-1.10196	-1009002,21		0
235	1009213	1001.05	1.0	38.859	1246.3	3.64242	1.68563	-1009002,21,21		0
238	1009213	1001.05	-1.0	67.3953	2223.5	4.07587	-0.929267	1009002,21,-3		0
242	1009223	1001.05	0.0	361.888	1114.17	0.815872	-0.0735511	-1009002,21,21,21		0
244	1092214	1001.38	1.0	355.764	1842.57	-2.14927	3.03974	1009002,21,21		0
245	1000993	1001.1	0.0	137.555	1149.81	-2.09182	-2.08207	-1009002,21		0
248	1009323	1001.22	-1.0	117.836	1471.81	-2.90445	0.934157	1009002,21		0
250	1009113	1001.05	0.0	376.13	1166.97	1.0426	1.69967	-1009002,21		0
254	1009223	1001.05	0.0	488.498	2649.89	2.29703	-1.57828	-1009002,21		0
258	1009213	1001.05	1.0	307.438	1161.74	1.26799	1.52918	-1009002,21		0
259	1009113	1001.05	0.0	294.335	1067.12	0.700907	-1.67158	1009002,-3		0
262	1009213	1001.05	1.0	529.906	1229.39	-0.810427	-2.79814	-1009002,21		0
266	1009213	1001.05	1.0	394.973	1243.94	-1.23816	0.849189	1009002,21		0
267	1009223	1001.05	0.0	776.004	1306.13	0.40018	-1.14798	1009002,21,21		0
270	1009313	1001.22	0.0	390.166	1438.18	1.62846	2.3725	1009002,21		0
272	1009213	1001.05	-1.0	235.148	1101.63	1.29102	-1.74572	-1009002,21,21		0
273	1009323	1001.22	1.0	466.764	1108.15	0.186492	1.37056	1009002,21,21		0
275	1009313	1001.22	0.0	725.982	1268.67	-0.380428	2.89563	-1009002,21		0
278	1093114	1001.55	-1.0	373.267	1072.78	0.243545	0.950591	1009002,21		0
279	1009113	1001.05	0.0	873.788	1343.38	0.224325	-1.84367	-1009002,4		0
281	1009113	1001.05	0.0	867.063	1345.32	-0.269619	1.27062	1009002,21		0
282	1009213	1001.05	1.0	590.914	1323.38	0.930258	3.0367	-1009002,21,21		0
284	1009113	1001.05	0.0	397.038	1081.65	0.252122	-0.0433312	-1009002,21		0
287	1092214	1001.38	-1.0	357.273	1626.61	-1.95069	-0.150659	1009002,21,21		0
288	1000993	1001.1	0.0	302.774	1180.64	-1.35486	2.89359	-1009002,21,21		0
292	1009313	1001.22	0.0	224.893	1029.77	0.3735	-2.24669	1009002,21,21		0
293	1009323	1001.22	1.0	216.143	1123.63	-1.50333	0.903781	1009002,21		0
295	1009223	1001.05	0.0	377.993	1304.06	-1.43101	-2.92791	-1009002,21,21		0
296	1009223	1001.05	0.0	342.067	1663.77	-2.03327	0.0125497	1009002,21,21		0
298	1009113	1001.05	0.0	532.939	1134.27	0.0397671	-0.590134	-1009002,21		0
301	1009113	1001.05	0.0	485.728	1305.68	-1.1418	2.52805	1009002,21,21		0
303	1009213	1001.05	-1.0	1196.73	1560.23	-0.00579565	-1.17307	1009002,21,21		0
306	1009323	1001.22	-1.0	1161.77	1586.08	0.341373	1.71017	-1009002,21,21		0
307	1009213	1001.05	-1.0	756.331	1271.68	-0.270972	-2.09286	1009002,21		0
308	1009113	1001.05	0.0	1004.03	1587.2	-0.661318	1.14778	-1009002,21		0
309	1009213	1001.05	1.0	105.234	1126.73	2.27474	0.825995	1009002,21		0
311	1009213	1001.05	-1.0	37.9888	1081.27	3.06668	-2.34261	1009002,21,21		0
312	1009213	1001.05	-1.0	384.745	1655.6	1.90295	2.26334	1009002,21,21		0
316	1009213	1001.05	1.0	386.872	1260.95	-1.30645	-0.877073	-1009002,21,21		0
317	1009223	1001.05	0.0	519.377	1300.69	1.04617	2.69149	-1009002,21,21		0
320	1009313	1001.22	0.0	496.61	1555.74	-1.52105	-0.0898948	-1009002,21		0
322	1009223	1001.05	0.0	79.5704	1005.16	-0.525288	-1.43791	1009002,21		0
323	1092224	1001.38	-2.0	1118.93	1768.74	0.760042	-2.96461	-1009002,21		0
324	1009213	1001.05	-1.0	492.527	1117.5	0.13001	2.92549	-1009002,21,21		0
329	1009223	1001.05	0.0	438.147	1112.97	0.465187	0.244374	1009002,21,21,21		0
331	1009213	1001.05	1.0	702.726	1518.19	-1.06614	-1.56153	1009002,21		0
333	1009213	1001.05	1.0	729.016	1290.95	-0.481432	1.54397	-1009002,21,21		0
334	1009323	1001.22	1.0	257.357	1041.76	-0.481558	-2.45808	-1009002,21,21		0
335	1000993	1001.1	0.0	259.531	1216.29	-1.63477	0.639219	1009002,21		0
337	1009213	1001.05	-1.0	293.998	1206.23	-1.46973	-0.000808064	-1009002,21,21		0
338	1009223	1001.05	0.0	392.695	1665.27	-1.89113	-2.72177	1009002,21		0
339	1009213	1001.05	1.0	1157.07	1561.69	-0.267298	0.360321	-1009002,21		0
340	1009323	1001.22	-1.0	279	1158.75	1.36783	-2.65629	1009002,21		0
342	1009213	1001.05	-1.0	274.524	1038.02	0.0157052	-1.79271	1009002,21,21		0
347	1009213	1001.05	1.0	173.51	1131.73	1.77773	0.740157	1009002,21		0
349	1092114	1001.38	0.0	610.463	1292	-0.799905	2.89778	1009002,21		0
353	1009213	1001.05	-1.0	503.542	1906.23	-1.83803	-0.09558	1009002,21		0
355	1009313	1001.22	0.0	658.027	1345.69	0.831849	2.29383	1009002,-2		0
357	1009223	1001.05	0.0	556.773	1281.47	0.903714	-0.263487	1009002,21		0
358	1009213	1001.05	-1.0	468.628	1136.28	-0.536194	2.19168	1009002,21		0
360	1091114	1001.38	1.0	553.112	1339.13	-1.05293	-0.768386	-1009002,21,21		0
363	1009223	1001.05	0.0	147.866	1637.54	-2.86056	-0.555787	-1009002,21,21		0
364	1009323	1001.22	1.0	139.648	1155.36	-2.09608	2.75593	-1009002,21		0
367	1009213	1001.05	1.0	187.86	1131.68	1.69294	-2.15387	1009002,21		0
368	1009213	1001.05	1.0	265.233	1053.99	0.684522	0.863273	-1009002,3		0
373	1009113	1001.05	0.0	270.042	1193.46	1.52498	-0.122388	-1009002,4		0
374	1009213	1001.05	-1.0	335.464	2415.06	2.56698	2.77803	1009002,21,21		0
375	1009213	1001.05	-1.0	265.689	1507.89	2.12455	-0.773212	-1009002,21,21		0
380	1009213	1001.05	1.0	310.88	1688.07	2.15506	2.24564	1009002,21,21		0
381	1092114	1001.38	0.0	78.4914	1211.98	-2.85297	2.77772	-1009002,21,5		0
383	1009213	1001.05	1.0	165.407	1257.41	2.20722	0.300612	1009002,21		0
385	1000993	1001.1	0.0	544.964	1284.91	0.942518	0.327403	-1009002,21,21		0
390	1000993	1001.1	0.0	581.567	1268.27	-0.801654	-2.58992	1009002,21,21		0
391	1009323	1001.22	1.0	745.562	1340.43	0.615371	-2.0567	-1009002,21,21		0
394	1009313	1001.22	0.0	775.955	1379.65	-0.656396	1.09149	1009002,21		0
395	1009223	1001.05	0.0	810.052	1483.89	0.816447	-0.314147	1009002,21,21,21		0
402	1009223	1001.05	0.0	783.998	1275.27	-0.124341	2.89813	-1009002,21,21		0
