phi	pt	mothers	energy	pdg_id	long_lived	charge	eta	mass	event	daughters
1.06999516487	816.942932129	-1009002,21	2099.50984645	1000993	0	0	0.780801296234	1801.09997559	10889	
-2.0671620369	814.983520508	1009002,21,21	2737.54091334	1009223	0	1	1.57965672016	1801.05004883	10889	
-2.69253110886	1526.00549316	-1009002,21,2	2411.40751743	1009113	0	0	-0.317291468382	1801.05004883	10891	
0.456121623516	1520.90222168	1009002,21,21	2455.22377923	1009323	0	0	0.436993360519	1801.22497559	10891	
-1.61125063896	521.793395996	-1009002,21,21	2127.1780753	1009323	0	0	1.40926671028	1801.22497559	10893	
1.49796283245	634.631347656	1009002,21,21	2012.16090869	1009213	0	0	-0.880931258202	1801.05004883	10893	
-2.77541041374	1177.29101562	-1009002,21	2762.43114224	1009213	0	0	1.17886018753	1801.05004883	10895	
0.389816790819	1207.01037598	1009002,-3	2175.21471095	1000993	0	0	0.144714534283	1801.09997559	10895	
2.64557266235	502.474822998	1009002,-2	2056.73989423	1009223	0	1	-1.30101895332	1802.13537598	10896	
-0.534004867077	452.782775879	1009002,21,21	2403.84966265	1009323	0	0	1.9295374155	1801.22497559	10896	
2.38729166985	847.553405762	1009002,21,21	1990.71016719	1009213	0	0	-0.0333428680897	1801.05004883	10897	
-0.745639979839	846.637634277	-1009002,1	3529.5041876	1009213	0	0	1.9499284029	1801.05004883	10897	
0.818973183632	256.788116455	-1009002,3	1895.01911608	1009333	0	0	-1.46905100346	1801.6706543	10898	
-0.948018312454	840.194824219	1009002,21	2277.25035924	1009323	0	0	1.09237277508	1801.22497559	10898	
2.47987437248	1415.97180176	1009002,21	2613.80486228	1009313	0	0	0.800251662731	1801.22497559	10899	
-0.719666719437	1896.66955566	-1009002,1	2646.62927	1009113	0	0	0.211613684893	1801.05004883	10899	
-2.97226428986	348.014007568	-1009002,21,21	1880.29586847	1009213	0	0	-1.00756132603	1801.05004883	10900	
-1.86316096783	726.278991699	1009002,-2	2771.59868256	1009213	0	0	-1.72693431377	1801.05004883	10900	
1.74814963341	789.353759766	-1009002,21,21	2032.69745334	1093214	0	0	0.611168384552	1801.55004883	10903	
-1.35267734528	772.65032959	1009002,21,21	1970.51756952	1000993	0	0	0.262195020914	1801.09997559	10903	
-1.25284898281	51.9857673645	-1009002,21,21	1815.69419783	1009213	0	0	2.16785478592	1801.05004883	10905	
2.04626774788	60.7570724487	1009002,21	2221.08141245	1009213	0	0	-3.75566530228	1801.05004883	10905	
-2.93368506432	812.719055176	-1009002,1	2014.27468256	1009213	0	0	-0.46442592144	1801.05004883	10906	
0.179521679878	801.806152344	1009002,21,21,21	2594.62466561	1009213	0	0	-1.48911130428	1801.05004883	10906	
2.29460334778	496.850830078	-1009002,21,21	1877.94222398	1009323	0	0	-0.370145022869	1801.22497559	10908	
1.55960392952	459.160736084	1009002,21	2265.35138773	1000993	0	0	1.76005637646	1801.09997559	10908	
1.68411147594	1190.81542969	-1009002,21,21	2160.99842897	1009323	0	0	0.0724746063352	1801.22497559	10909	
-1.77163314819	1294.60095215	1009002,21,21	2320.60949769	1009323	0	0	-0.504906356335	1801.22497559	10909	
1.43291866779	804.098205566	-1009002,21	2269.38684118	1009113	0	0	-1.13556063175	1801.05004883	10913	
-1.7953056097	900.264282227	-1009002,21	2164.92151126	1009223	0	1	-0.796548604965	1801.05004883	10913	
-1.1157027483	1181.13952637	1009002,21,21	2238.80291525	1009313	0	0	0.49626916647	1801.22497559	10914	
2.0315515995	1464.71862793	-1009002,21,21	2353.12817039	1009323	0	0	0.259204417467	1801.22497559	10914	
2.39236569405	1332.04150391	1009002,21,21	2368.8792898	1009213	0	0	-0.550162613392	1801.05004883	10916	
-0.790847957134	1457.75378418	-1009002,21,21	2348.76792088	1092214	0	1	-0.259821087122	1801.375	10916	
2.7734131813	1011.49554443	-1009002,21	2079.24797536	1009313	0	0	-0.231335878372	1801.22497559	10917	
-0.377672702074	998.049621582	1009002,-2	2541.5699584	1009313	0	0	-1.19063091278	1801.22497559	10917	
1.32922673225	777.532531738	-1009002,21	1999.87767041	1000993	0	0	-0.480995059013	1801.09997559	10918	
-1.93589746952	1423.46655273	1009002,21,21	2571.12331895	1009223	0	1	-0.743103742599	1801.05004883	10918	
-0.337368279696	1332.58166504	-1009002,21,21	2285.04811433	1009113	0	0	-0.331098377705	1801.05004883	10919	
2.76593375206	1414.65734863	1009002,21	2713.14855902	1009213	0	0	0.901245355606	1801.05004883	10919	
1.55751597881	250.929519653	1009002,21,21	1873.06707913	1009213	0	0	-1.34532558918	1801.05004883	10922	
-1.56403720379	240.971206665	-1009002,21,21,21	1819.58846901	1009213	0	0	0.385264694691	1801.05004883	10922	
-2.31327724457	2333.12402344	-1009002,21,21	3528.31807982	1009213	0	0	-0.75692486763	1801.05004883	10924	
0.500755667686	2171.5925293	1009002,21,21	2872.57186898	1009223	0	1	-0.246367484331	1801.05004883	10924	
-1.82865560055	1000.47564697	1009002,21,21	2073.06407903	1092224	0	2	0.225337207317	1801.375	10925	
1.31526231766	1003.84112549	1009002,21,21	2675.29262754	1009213	0	0	-1.29985284805	1801.05004883	10925	
-2.76707935333	1617.56152344	-1009002,21	2718.65489056	1009113	0	0	-0.705015420914	1801.05004883	10928	
0.322668641806	1642.24645996	-1009002,21,21	2444.10351017	1009223	0	1	0.110203847289	1801.05004883	10928	
0.882666945457	1480.45043945	-1009002,1	3278.47289742	1009213	0	0	1.22593617439	1801.05004883	10929	
-2.09093904495	1329.55395508	1009002,21	2502.63831418	1000993	0	0	0.764687240124	1801.09997559	10929	
-1.19680559635	1512.82751465	-1009002,21,21	2430.15051878	1009213	0	0	-0.393575817347	1801.05004883	10932	
1.98961985111	1524.77844238	1009002,21,21,21	2394.44649272	1009223	0	1	0.26306784153	1801.05004883	10932	
-0.629071354866	818.81854248	1009002,21,21	2121.05289049	1009323	0	0	-0.833404898643	1801.22497559	10933	
2.48166275024	819.364257812	1009002,21	2902.28041608	1009223	0	1	-1.6806191206	1801.05004883	10933	
