event	pdg_id	mass	charge	pt	eta	phi	energy	long_lived	mothers	daughters
1	1009213	1801.050048828125	-1	887.2042236328125	-1.1974208354949951	2.605013370513916	2411.0790935446676	0	-1009002,21,1	
1	1009113	1801.050048828125	0	1302.06787109375	0.3592514991760254	-0.31474611163139343	2273.2240081829377	0	1009002,21	
2	1009113	1801.050048828125	0	714.5123291015625	-0.39267152547836304	-0.3017815947532654	1958.8664885306316	0	-1009002,21	
2	1092114	1801.375	0	681.6331787109375	1.5736159086227417	2.7216744422912598	2487.0433619314595	0	1009002,21	
6	1009333	1801.4000244140625	0	192.41444396972656	-1.8218661546707153	-2.5134055614471436	1902.0214778894608	0	-1009002,21,21	
6	1009313	1801.2249755859375	0	232.0291290283203	1.8295700550079346	2.4438982009887695	1947.8903434232582	0	1009002,-3	
7	1092114	1801.375	0	354.6482238769531	2.34997820854187	-2.9921963214874268	2600.9875582589516	0	-1009002,21	
7	1092114	1801.375	0	367.7392272949219	-1.2505429983139038	0.12345439940690994	1930.7132850096032	0	-1009002,21	
11	1092214	1801.375	-1	221.92282104492188	0.9720862507820129	0.1485956460237503	1832.3144238547172	0	-1009002,21	
11	1009213	1801.050048828125	1	330.0845642089844	2.662949323654175	3.0428390502929688	2983.040568037082	0	1009002,21	
12	1009113	1801.050048828125	0	1213.731201171875	-1.218576431274414	-1.3728785514831543	2868.0812754061963	0	-1009002,21,21,21	
12	1009213	1801.050048828125	-1	1209.830322265625	-1.4505729675292969	1.7882800102233887	3263.998832975535	0	1009002,21	
13	1009223	1800.748046875	0	1024.1806640625	-0.3171985149383545	-0.6143952012062073	2097.8004207867457	0	1009002,-2	
13	1009223	1801.050048828125	0	1018.7235717773438	-0.13438253104686737	2.5303587913513184	2073.7486156514415	0	-1009002,21,21	
14	1009223	1801.050048828125	0	891.95556640625	0.6887307167053223	1.7316075563430786	2116.6783363561426	0	1009002,21	
14	1009213	1801.050048828125	-1	913.867431640625	0.5593350529670715	-1.3537912368774414	2090.126275350707	0	-1009002,21	
17	1093224	1801.550048828125	1	302.8695983886719	2.1367757320404053	1.79252028465271	2222.109860172516	0	1009002,21	
17	1009213	1801.050048828125	1	253.82740783691406	1.845483660697937	1.7477463483810425	1980.410918386352	0	1009002,21	
19	1009213	1801.050048828125	-1	954.3466796875	-0.2593366503715515	-0.8601763844490051	2053.582060231669	0	-1009002,21,21	
