event	pdgid	mass	charge	pt	energy	eta	phi	mothers	daughters	longLived
119	1009223	1801.05	0.0	1717.66	2592.43	-0.410805	1.68249	-1009002,21		0
120	1009213	1801.05	-1.0	1337.65	2450.07	0.682061	2.76681	-1009002,21		0
122	1009213	1801.05	1.0	566.548	1984.67	0.936605	0.0607465	1009002,21,21		0
123	1000993	1801.1	0.0	648.851	2291.71	-1.41716	-1.13613	-1009002,21,21		0
125	1009213	1801.05	-1.0	672.839	2485.27	1.58634	2.06198	1009002,21,-1		0
126	1009213	1801.05	1.0	505.189	1940.56	-0.897102	-2.50673	-1009002,21		0
130	1000993	1801.1	0.0	514.503	1942.68	0.882176	0.612876	1009002,21		0
131	1009223	1801.05	0.0	135.635	1870.07	1.98586	-0.593049	-1009002,21,21		0
132	1009213	1801.05	1.0	79.8844	2492.68	-3.76401	-3.09224	1009002,21		0
134	1009113	1801.05	0.0	810.031	2017.29	0.488645	-2.41666	-1009002,21,21		0
136	1000993	1801.1	0.0	814.849	2457.8	1.34668	0.770431	-1009002,21		0
138	1092114	1801.38	0.0	1146.91	2250.83	-0.586042	2.4795	-1009002,4		0
139	1009223	1801.05	0.0	1114.52	2174.28	0.427816	-0.929766	1009002,21,21		0
141	1009213	1801.05	1.0	683.348	1947.56	0.408249	3.01734	-1009002,21,21		0
142	1009213	1801.05	1.0	1159.1	2153.15	-0.189393	-0.490419	-1009002,21		0
143	1009113	1801.05	0.0	983.187	2326.07	0.959904	-1.31323	-1009002,21		0
144	1092214	1801.38	1.0	872.444	2304.75	-1.08439	1.74755	-1009002,21		0
145	1000993	1801.1	0.0	428.027	1933.92	-1.0826	0.268161	1009002,21		0
146	1009213	1801.05	1.0	535.296	1970.03	-0.954582	3.11133	-1009002,21,21,21		0
148	1009113	1801.05	0.0	1280.9	2210.62	0.0378465	-1.70949	-1009002,21,21		0
150	1009113	1801.05	0.0	1276.67	2211.53	-0.102501	1.38916	1009002,21		0
151	1009323	1801.22	-1.0	2099.09	3022.8	-0.552355	2.92915	1009002,21		0
152	1000993	1801.1	0.0	2310.86	3101.99	-0.427777	-0.167879	1009002,21		0
153	1000993	1801.1	0.0	778.86	1963.63	0.0929527	-0.291729	-1009002,4		0
154	1009213	1801.05	-1.0	786.346	2914.48	-1.73183	2.82825	1009002,21,21		0
155	1009213	1801.78	-1.0	1439.66	2440.57	-0.52945	-2.32192	-1009002,1		0
157	1009213	1801.05	1.0	1231.62	2206.21	0.262204	0.754361	1009002,21		0
160	1009223	1801.05	0.0	623.985	2079.3	1.09756	-0.732439	1009002,21,21		0
161	1009223	1801.05	0.0	574.683	1903.49	0.377143	2.37739	1009002,21		0
164	1009113	1801.05	0.0	16.3128	2031.9	-4.7477	-2.24364	-1009002,21		0
166	1009213	1801.05	-1.0	14.7466	2170.03	-5.10087	-2.93265	1009002,21,21		0
167	1009113	1801.05	0.0	411.718	1915.01	1.03128	0.0129493	-1009002,21		0
168	1000993	1801.1	0.0	433.926	2573.12	2.12228	3.07893	1009002,21,21		0
169	1009113	1801.05	0.0	585.359	2058.97	-1.12654	-3.13304	-1009002,21,21		0
