event	bunchCrossing	pdgid	mass	charge	pt	eta	phi	mothers	daughters
96	-1	1000993	1801.1	0.0	1735.17	1.14101	1.96211	-1009002,21,21	
96	-1	1009213	1801.05	-1.0	1736.58	-0.347924	-1.1892	1009002,-4	
97	-1	1009213	1801.05	1.0	226.997	-0.964594	-0.327355	-1009002,21,21,21	
97	-1	1009213	1801.05	-1.0	236.505	2.62913	2.66876	1009002,21,21,21	
100	-1	1009113	1801.05	0.0	527.038	-0.97435	-1.3206	-1009002,3	
100	-1	1009213	1801.05	-1.0	645.838	0.593039	2.00937	1009002,21,21	
102	-1	1009113	1801.05	0.0	1507.02	0.895673	-2.6831	-1009002,21,21	
102	-1	1009223	1801.05	0.0	1138.49	-1.06357	0.492169	1009002,-1	
106	-1	1009213	1801.05	-1.0	700.805	1.36235	-0.56812	1009002,21	
106	-1	1009213	1801.05	-1.0	653.68	1.47988	2.41743	1009002,21,21	
107	-1	1009323	1801.22	1.0	139.366	2.81915	-2.06882	1009002,21,21	
107	-1	1009213	1801.05	1.0	115.544	2.38048	1.15802	-1009002,21,21,21	
109	-1	1000993	1801.1	0.0	1090.3	-0.360103	-1.32561	-1009002,3	
109	-1	1092214	1801.38	-1.0	1022.52	0.985277	1.77165	-1009002,21	
112	-1	1009213	1801.05	1.0	931.218	0.90045	-2.27046	1009002,21	
112	-1	1009213	1801.05	-1.0	936.492	0.937814	0.872769	-1009002,21,21	
120	-1	1000993	1801.1	0.0	774.193	-0.271692	1.85744	1009002,21	
120	-1	1009113	1801.05	0.0	786.815	-0.767476	-1.24698	-1009002,1	
123	-1	1009223	1801.05	0.0	748.955	0.157102	-2.54837	1009002,21,21	
123	-1	1009213	1801.05	-1.0	737.043	-1.66496	0.583784	-1009002,21	
124	-1	1009113	1801.05	0.0	1293.09	1.2789	-1.50729	1009002,21,21	
124	-1	1092114	1801.38	0.0	1296.45	-1.12091	1.6253	1009002,21,21	
128	-1	1009313	1801.22	0.0	609.363	-0.899232	-1.98112	1009002,21,21	
128	-1	1009223	1801.05	0.0	458.37	0.934961	1.74259	1009002,21,21	
132	-1	1009223	1801.05	0.0	938.427	0.0342239	-0.340522	1009002,21	
132	-1	1009223	1801.05	0.0	755.63	-0.486578	2.91674	-1009002,21	
133	-1	1009213	1801.05	-1.0	627.687	0.368574	-1.92324	-1009002,21,21	
133	-1	1009223	1801.05	0.0	631.128	0.146292	1.29654	1009002,21,21	
135	-1	1000993	1801.1	0.0	1126.91	1.38044	-2.01889	-1009002,21	
135	-1	1000993	1801.1	0.0	1169.29	0.154835	1.11022	1009002,-4	
141	-1	1009223	1801.05	0.0	622.765	-1.45032	3.04618	1009002,21,21	
141	-1	1009113	1801.05	0.0	624.169	0.96833	0.0870792	-1009002,21	
146	-1	1009213	1801.05	1.0	1239.59	0.0693994	0.639231	-1009002,21,21	
146	-1	1009213	1801.05	-1.0	1323.27	0.882683	-2.44125	1009002,21,21	
147	-1	1000993	1801.1	0.0	625.871	-1.34984	-2.88525	-1009002,1	
147	-1	1009223	1801.05	0.0	583.337	0.93413	0.41731	1009002,-1	
148	-1	1009113	1801.05	0.0	911.237	-1.40694	1.82404	-1009002,4	
